"ENSEMBL"	"wt6h_wt0h"	"wt24h_wt0h"	"wt48h_wt0h"	"wt336h_wt0h"	"wtRC12h_wt0h"	"ENTREZID"	"SYMBOL"	"GENENAME"	"TF"	"PC"	"gene_cluster"
"ENSMUSG00000031367"	0.0528740313104482	0.228848513410661	0.229515132993689	0.000761582978817898	1.7869517657642	"108012"	"Ap1s2"	"adaptor-related protein complex 1, sigma 2 subunit"	"no"	"others"	"cluster 4"
"ENSMUSG00000044583"	0.528320516107157	1.15657007977779	0.0833520737577694	0.000960983741412762	0.105953091260641	"170743"	"Tlr7"	"toll-like receptor 7"	"no"	"others"	"cluster 3"
"ENSMUSG00000027506"	1.22919299385641	0.364599500895164	0.847842439041297	0.0375592217798754	0.902382792571399	"21985"	"Tpd52"	"tumor protein D52"	"no"	"others"	"cluster 2"
"ENSMUSG00000002428"	-1.06611372340796	-0.315623782487289	-0.0137849613978553	-0.00134682034887362	-0.332466794841529	"20585"	"Hltf"	"helicase-like transcription factor"	"no"	"others"	"cluster 6"
"ENSMUSG00000027695"	-1.0133383269181	-0.417737017337668	-0.171722244229385	0.00899000851431668	-0.0401582726565397	"18805"	"Pld1"	"phospholipase D1"	"no"	"others"	"cluster 6"
"ENSMUSG00000061143"	-0.803654689222868	-0.0418814449842856	-1.09285485237248	0.00266095386349184	0.261381035374111	"433586"	"Maml3"	"mastermind like transcriptional coactivator 3"	"no"	"others"	"cluster 6"
"ENSMUSG00000036503"	-1.3411056335604	-0.519094182260261	-0.256163809636887	0.000764761784248329	-0.225622419140627	"24017"	"Rnf13"	"ring finger protein 13"	"no"	"others"	"cluster 6"
"ENSMUSG00000027808"	0.565202318638953	0.768280490810653	0.731037142146119	0.00838547297402668	1.26294375264791	"28146"	"Serp1"	"stress-associated endoplasmic reticulum protein 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000036362"	-1.09217230917712	-0.854409898329112	-1.00180201614507	-0.00960997292210031	-0.802535769761596	"74191"	"P2ry13"	"purinergic receptor P2Y, G-protein coupled 13"	"no"	"others"	"cluster 7"
"ENSMUSG00000036353"	-2.82877679188042	-0.764074035041336	-1.64768871782607	-0.00466855210985259	-1.86064508752599	"70839"	"P2ry12"	"purinergic receptor P2Y, G-protein coupled 12"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000027995"	2.97587148881115	0.88923375150317	1.26527569599475	0.00801370579146136	1.4649919198134	"24088"	"Tlr2"	"toll-like receptor 2"	"no"	"PC1"	"cluster 2"
"ENSMUSG00000028080"	-1.13964077837228	-0.334179373204742	-0.926131464839688	-0.00832901410614117	-1.92298631940569	"80877"	"Lrba"	"LPS-responsive beige-like anchor"	"no"	"shared"	"cluster 7"
"ENSMUSG00000001416"	1.5933232879841	0.346751839409075	0.219024716845983	0.00845196346499991	0.610317107804796	"12462"	"Cct3"	"chaperonin containing Tcp1, subunit 3 (gamma)"	"no"	"others"	"cluster 3"
"ENSMUSG00000001415"	1.34814141066358	0.58798402587759	0.270501286574377	-0.00361259563682756	0.145352929736925	"229512"	"Smg5"	"Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)"	"no"	"others"	"cluster 3"
"ENSMUSG00000027951"	1.56675803009507	0.412599733338565	1.10467152614329	-0.00441025832641403	0.0263646476441311	"56417"	"Adar"	"adenosine deaminase, RNA-specific"	"no"	"others"	"cluster 2"
"ENSMUSG00000052310"	1.53025466962896	0.836186117410679	0.043603950010584	-5.65175304897454e-05	0.52737402244848	"30791"	"Slc39a1"	"solute carrier family 39 (zinc transporter), member 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000056054"	0.00586798594978291	-0.0739113594431782	0.0425071755059419	5.23444711360046	3.42171293717921	"20201"	"S100a8"	"S100 calcium binding protein A8 (calgranulin A)"	"no"	"others"	"cluster 4"
"ENSMUSG00000056071"	0.0784272897920709	-0.139467699922579	-0.00708266507924811	6.01757815535944	4.34585546201931	"20202"	"S100a9"	"S100 calcium binding protein A9 (calgranulin B)"	"no"	"PC2"	"cluster 4"
"ENSMUSG00000038612"	1.41464949919922	0.46926519250744	0.400180351952255	-0.00546065953319577	0.47347168874793	"17210"	"Mcl1"	"myeloid cell leukemia sequence 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000028107"	1.32238863504533	0.734593935113181	0.457861403812638	-0.00124883613407359	0.936909598794962	"71807"	"Tars2"	"threonyl-tRNA synthetase 2, mitochondrial (putative)"	"no"	"others"	"cluster 2"
"ENSMUSG00000015947"	1.1372010659503	0.282262338310242	0.739611856063358	-0.00140371613768164	0.148810911283355	"14129"	"Fcgr1"	"Fc receptor, IgG, high affinity I"	"no"	"others"	"cluster 3"
"ENSMUSG00000044468"	-1.54058648778277	-0.39405572247711	-0.657826933020203	0.00119534610967007	-0.641778431374824	"74645"	"Fam46c"	"family with sequence similarity 46, member C"	"no"	"others"	"cluster 7"
"ENSMUSG00000033161"	1.35643256139261	0.505898070341852	1.61404772987899	0.00106062181245299	1.1728415923023	"11928"	"Atp1a1"	"ATPase, Na+/K+ transporting, alpha 1 polypeptide"	"no"	"others"	"cluster 2"
"ENSMUSG00000027848"	-1.20763188878754	-0.858768969579912	-0.011480625970053	-0.00147183775979863	-0.925457710143086	"99543"	"Olfml3"	"olfactomedin-like 3"	"no"	"others"	"cluster 7"
"ENSMUSG00000040774"	1.86416123652382	0.745957619110177	0.987321643673006	0.00882351679139298	1.25073073001855	"99712"	"Cept1"	"choline/ethanolaminephosphotransferase 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000014599"	1.80099615964201	0.490977308951142	1.81058794184325	0.000793381002342294	0.776043897970264	"12977"	"Csf1"	"colony stimulating factor 1 (macrophage)"	"no"	"others"	"cluster 2"
"ENSMUSG00000040339"	-1.50846884348301	-0.178609618087967	-1.34619840452274	-0.0244716481725429	-0.728340915363001	"329739"	"Fam102b"	"family with sequence similarity 102, member B"	"no"	"others"	"cluster 7"
"ENSMUSG00000040998"	-2.88997509817454	-0.436631358483553	-0.220132220459064	-0.00698988338664075	-3.53607438341278	"114249"	"Npnt"	"nephronectin"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000040253"	1.63179762806952	1.49335198324751	1.3804358437326	0.00662883439101384	0.876700707886177	"229900"	"Gbp7"	"guanylate binding protein 7"	"no"	"PC2"	"cluster 2"
"ENSMUSG00000047676"	1.15222255606041	0.848617518389358	1.43098997590092	-0.00379356562227664	0.246427587901405	NA	"10513"	NA	"no"	"others"	"cluster 4"
"ENSMUSG00000028173"	-1.04651893990137	-0.369058908749483	-0.377371450405963	-0.00297247296813027	-0.829436990333386	"68151"	"Wls"	"wntless WNT ligand secretion mediator"	"no"	"others"	"cluster 7"
"ENSMUSG00000028207"	-2.42169128815375	-0.755143414476011	-0.627510984787242	-0.00270385918232591	-1.18714059573538	"65973"	"Asph"	"aspartate-beta-hydroxylase"	"no"	"shared"	"cluster 8"
"ENSMUSG00000045205"	-1.20603053456334	-0.205844981822993	-0.435845101872594	0.00739883568777733	-0.239798956734092	"381510"	"Dpy19l4"	"dpy-19-like 4 (C. elegans)"	"no"	"others"	"cluster 6"
"ENSMUSG00000028291"	-1.70968133224481	-0.876556963560696	-0.50310293408104	0.00346931615610947	-0.721712647930291	"433693"	"Akirin2"	"akirin 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000028413"	1.87954061221871	0.69674123553169	0.362038265998725	-0.000290444375185734	0.871529767266318	"14595"	"B4galt1"	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000028459"	2.3516166289911	2.12296900007014	4.38308079816966	0.00492116754668384	1.48952594086094	"12517"	"Cd72"	"CD72 antigen"	"no"	"shared"	"cluster 1"
"ENSMUSG00000007613"	-1.33841864025112	-0.722292729825975	-0.800888629416274	-0.00861289747766871	-0.894560402391561	"21812"	"Tgfbr1"	"transforming growth factor, beta receptor I"	"no"	"others"	"cluster 7"
"ENSMUSG00000053317"	0.272603234369846	-0.169146475498199	1.05795378746719	-0.002859368975202	-0.020779295560536	"66212"	"Sec61b"	"Sec61 beta subunit"	"no"	"others"	"cluster 4"
"ENSMUSG00000028381"	2.17505889431846	1.02498901437874	0.209338653188181	0.0161280169962371	0.942125141623269	"22234"	"Ugcg"	"UDP-glucose ceramide glucosyltransferase"	"no"	"others"	"cluster 2"
"ENSMUSG00000028385"	-1.00146214076023	0.432909036684262	-0.378943623083268	-0.00462794113545134	-0.36560442358164	"209131"	"Snx30"	"sorting nexin family member 30"	"no"	"others"	"cluster 6"
"ENSMUSG00000066152"	1.20827336559849	0.553558272123565	1.13803596438796	0.0185072741278468	1.35993748987413	"20530"	"Slc31a2"	"solute carrier family 31, member 2"	"no"	"others"	"cluster 2"
"ENSMUSG00000066150"	1.17720651637331	0.259356814084221	0.923608557025878	0.000305390947738509	0.491261034388023	"20529"	"Slc31a1"	"solute carrier family 31, member 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000045672"	-3.30248426677526	-0.761976400202419	-0.462383039772451	-0.000328941966886385	-0.574203558625331	"373864"	"Col27a1"	"collagen, type XXVII, alpha 1"	"no"	"shared"	"cluster 8"
"ENSMUSG00000039137"	-2.89890875739507	-1.05420883823225	-1.19367597725335	-0.00145974641388833	-1.60259104180749	"73750"	"Whrn"	"whirlin"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000045917"	1.50737215749324	0.604319535031525	1.17938633044069	0.00464168075861644	1.25454628615029	"230279"	"Tmem268"	"transmembrane protein 268"	"no"	"others"	"cluster 2"
"ENSMUSG00000028525"	1.45131337456686	0.89992784264478	0.461756378438846	-0.00465003829240423	0.257385905011849	"18578"	"Pde4b"	"phosphodiesterase 4B, cAMP specific"	"no"	"others"	"cluster 3"
"ENSMUSG00000028680"	1.30670748580406	0.262699051550341	1.08570756766159	-0.0030458611003819	0.100361793185714	"12795"	"Plk3"	"polo like kinase 3"	"no"	"others"	"cluster 3"
"ENSMUSG00000006390"	1.01558620636252	0.397414568913765	0.653095939250149	-0.00441340282887297	0.384603802259043	"54325"	"Elovl1"	"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000028729"	1.41889005409853	0.176847140131191	0.111376766882642	-0.00070787961849372	0.430539977041647	"69072"	"Ebna1bp2"	"EBNA1 binding protein 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000028645"	2.3544402576988	-0.0702509139322869	0.330524785335849	0.00595089979986366	1.14748677401802	"20525"	"Slc2a1"	"solute carrier family 2 (facilitated glucose transporter), member 1"	"no"	"shared"	"cluster 2"
"ENSMUSG00000032870"	-1.22564881912731	-0.849781804998073	-0.784840395927886	-0.0016688342133443	-1.23377355676206	"69780"	"Smap2"	"small ArfGAP 2"	"no"	"others"	"cluster 7"
"ENSMUSG00000042677"	2.02741349199143	0.95620610284135	0.585051338153985	-0.00410104050087999	0.905416596851446	"230738"	"Zc3h12a"	"zinc finger CCCH type containing 12A"	"no"	"shared"	"cluster 2"
"ENSMUSG00000028859"	-1.15870641662103	-0.457604587439473	0.00728311476343134	0.0123984781998102	0.0763039644743438	"12986"	"Csf3r"	"colony stimulating factor 3 receptor (granulocyte)"	"no"	"others"	"cluster 6"
"ENSMUSG00000028811"	1.12471526262996	0.166294403976557	-0.279308459439991	-0.00588791908970264	0.421631068155024	"107271"	"Yars"	"tyrosyl-tRNA synthetase"	"no"	"others"	"cluster 3"
"ENSMUSG00000047945"	3.31814238321534	0.544277069975666	2.29248227230201	-0.00558054768116906	0.0731795572611384	"17357"	"Marcksl1"	"MARCKS-like 1"	"no"	"shared"	"cluster 2"
"ENSMUSG00000050493"	-2.10615011845424	-1.23036089829566	0.151647656896855	-0.00431457370289543	-1.49190798546199	"230766"	"Fam167b"	"family with sequence similarity 167, member B"	"no"	"shared"	"cluster 8"
"ENSMUSG00000025743"	1.50878970291285	1.25893464485684	3.26806655781543	0.00102614876705559	0.238401459484405	"20970"	"Sdc3"	"syndecan 3"	"no"	"PC2"	"cluster 4"
"ENSMUSG00000086290"	1.46661346243506	0.367984733813524	0.400926632378703	0.00270074392505877	0.636387572070031	"100039864"	"Snhg12"	"small nucleolar RNA host gene 12"	"no"	"others"	"cluster 3"
"ENSMUSG00000056529"	-0.717455875400688	-0.370941493332604	-1.14686744432686	-0.00624067389054346	-0.974706834693596	"19204"	"Ptafr"	"platelet-activating factor receptor"	"no"	"others"	"cluster 7"
"ENSMUSG00000028874"	3.56909809323588	1.45090797444499	2.64157881188854	0.009428765195041	3.51920248301373	"14191"	"Fgr"	"FGR proto-oncogene, Src family tyrosine kinase"	"no"	"PC1"	"cluster 1"
"ENSMUSG00000000682"	-0.0333097918643524	0.358651335907405	2.08438548448371	0.00444569419151319	0.229624898651255	"23833"	"Cd52"	"CD52 antigen"	"no"	"others"	"cluster 4"
"ENSMUSG00000037306"	-2.02037674708801	-0.797250691176996	0.00257411499518773	-0.00400281232725547	-0.262586692370057	"230815"	"Man1c1"	"mannosidase, alpha, class 1C, member 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000028822"	-1.27571163353467	-0.320582973397052	-0.284093526102846	-1.72832073716884e-05	-0.218177596536745	"71817"	"Tmem50a"	"transmembrane protein 50A"	"no"	"others"	"cluster 6"
"ENSMUSG00000037266"	-1.2684826594716	-0.604013313325236	-0.690670918534132	-0.000405590460030471	-0.727341117085948	"27981"	"Rsrp1"	"arginine/serine rich protein 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000046447"	-1.25574361617089	-0.496431282149187	-0.135474026601315	0.00208773587500738	0.251558191083289	"66259"	"Camk2n1"	"calcium/calmodulin-dependent protein kinase II inhibitor 1"	"no"	"others"	"cluster 6"
"ENSMUSG00000036622"	-0.58106979739133	0.562725048293671	1.51548552690939	0.00652113202133946	0.481265708715704	"74772"	"Atp13a2"	"ATPase type 13A2"	"no"	"others"	"cluster 4"
"ENSMUSG00000066026"	-2.96583260163451	-0.741267055938047	-0.0770173131815663	0.00163127222754971	-0.279569783484424	"20148"	"Dhrs3"	"dehydrogenase/reductase (SDR family) member 3"	"no"	"shared"	"cluster 8"
"ENSMUSG00000019055"	0.980128619646663	0.284185428915531	1.17258214127569	-0.00549361027406621	0.772726071272519	"18822"	"Plod1"	"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000029003"	1.08976818747785	0.457484448181448	0.391080026941004	-0.00266603109784069	0.218632923368693	"71890"	"Mad2l2"	"MAD2 mitotic arrest deficient-like 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000006442"	1.61998093411084	0.362457697650518	-0.0571959428213419	-0.000233334937378135	0.858365904520146	"20810"	"Srm"	"spermidine synthase"	"no"	"others"	"cluster 3"
"ENSMUSG00000028988"	1.02314235613052	0.528230234479278	0.597245670435667	0.00531257116107436	0.747924522454467	"67087"	"Ctnnbip1"	"catenin beta interacting protein 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000039953"	-1.12875994387142	-0.387455403989838	-0.990945453375489	-0.00473386952672313	-0.843957574959006	"65945"	"Clstn1"	"calsyntenin 1"	"no"	"others"	"cluster 7"
"ENSMUSG00000039911"	1.28703297577486	-0.0081383127660918	0.624549605864171	0.00157299431256444	0.745512551114597	"74646"	"Spsb1"	"splA/ryanodine receptor domain and SOCS box containing 1"	"no"	"others"	"cluster 3"
"ENSMUSG00000028976"	-2.86311862402647	-0.607491843616794	-0.700459434157186	-0.00234726608399916	-1.47741402014686	"56485"	"Slc2a5"	"solute carrier family 2 (facilitated glucose transporter), member 5"	"no"	"PC1"	"cluster 8"
"ENSMUSG00000039852"	-1.95925417623441	-0.427721350479819	0.159717435728293	0.00260535626215561	-0.715481168426599	"68703"	"Rere"	"arginine glutamic acid dipeptide (RE) repeats"	"no"	"others"	"cluster 7"
"ENSMUSG00000039759"	-1.44605322081529	-0.43705562929562	-0.619625071106985	0.00130674815238424	-0.415808617061252	"69876"	"Thap3"	"THAP domain containing, apoptosis associated protein 3"	"no"	"others"	"cluster 7"
"ENSMUSG00000029060"	-1.86107033153521	-0.628159856276916	-1.10014264559124	-0.00215296396322717	-0.879502086733504	"76580"	"Mib2"	"mindbomb E3 ubiquitin protein ligase 2"	"no"	"PC1"	"cluster 7"
"ENSMUSG00000029036"	1.78037532849119	0.205945879090183	0.372204358753386	0.00149885609696611	0.503370305822305	"108888"	"Atad3a"	"ATPase family, AAA domain containing 3A"	"no"	"others"	"cluster 3"
"ENSMUSG00000035692"	3.28561938307001	0.875441090385838	3.07653304342383	0.00244463159841874	-0.0852482247065078	"100038882"	"Isg15"	"ISG15 ubiquitin-like modifier"	"no"	"PC1"	"cluster 2"
"ENSMUSG00000095567"	1.44599420405093	0.312779033131773	0.105007758039633	0.0128755035666034	0.396323735069195	"57741"	"Noc2l"	"NOC2 like nucleolar associated transcriptional repressor"	"no"	"others"	"cluster 3"
"ENSMUSG00000040274"	1.16710668501502	0.205047243725292	-0.866875808405631	-0.0147644827159779	-0.131312472722729	"12571"	"Cdk6"	"cyclin-dependent kinase 6"	"no"	"others"	"cluster 3"
"ENSMUSG00000039899"	1.26209196015833	1.09744724206074	1.27733333988057	0.00692523263174642	0.179925946933579	"14190"	"Fgl2"	"fibrinogen-like protein 2"	"no"	"others"	"cluster 2"
"ENSMUSG00000038056"	-1.10576650704231	0.0792243350343422	-0.378424866540652	0.00254015840947922	-0.279601185566579	"231051"	"Kmt2c"	"lysine (K)-specific methyltransferase 2C"	"no"	"others"	"cluster 6"
"ENSMUSG00000023452"	1.07795593980548	0.423536276114413	0.0997786132294585	-0.000802897864635093	0.414632257860755	"320951"	"Pisd"	"phosphatidylserine decarboxylase"	"no"	"others"	"cluster 3"
"ENSMUSG00000018965"	-1.25987312582547	-0.638540788940544	-0.169108194087095	0.000702655043990854	-0.362581509709753	"22629"	"Ywhah"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"	"no"	"others"	"cluster 6"
"ENSMUSG00000037235"	-1.86894217260961	-0.240836715831716	-0.353974975606451	-0.0224548782285435	-0.233182263483771	"17122"	"Mxd4"	"Max dimerization protein 4"	"no"	"others"	"cluster 7"
"ENSMUSG00000059866"	1.39094731157839	0.468758599914931	0.733086428240296	0.00513146652137458	0.578345365566013	"231130"	"Tnip2"	"TNFAIP3 interacting protein 2"	"no"	"others"	"cluster 3"
"ENSMUSG00000054520"	1.59311150632031	0.508764000289206	0.966454367744225	0.0020047351200828	0.729175300249785	"24055"	"Sh3bp2"	"SH3-domain binding protein 2"	"no"	"others"	"cluster 2"
"ENSMUSG00000036693"	1.52578089290222	0.416000388072795	0.15527094629361	0.00390932037842163	0.479275305776741	"75416"	"Nop14"	"NOP14 nucleolar protein"	"no"	"others"	"cluster 3"
"ENSMUSG00000029098"	-2.11378759144378	-0.313245112734225	-0.124841118901276	-0.000153954116478585	-0.176739989109357	"80911"	"Acox3"	"acyl-Coenzyme A oxidase 3, pristanoyl"	"no"	"others"	"cluster 6"
"ENSMUSG00000029192"	1.03538119159623	0.287879327843345	0.524504196572202	-0.00222305640780329	0.553086327906158	"100855"	"Tbc1d14"	"TBC1 domain family, member 14"	"no"	"others"	"cluster 3"
"ENSMUSG00000039191"	1.69335938529258	0.60078978882021	0.982683805485658	0.0106934311102608	1.73422520320715	"19664"	"Rbpj"	"recombination signal binding protein for immunoglobulin kappa J region"	"no"	"others"	"cluster 2"
"ENSMUSG00000044827"	1.87966687029386	0.376447960903032	0.84326670299519	-0.00259711837030547	0.253654043891727	"21897"	"Tlr1"	"toll-like receptor 1"	"no"	"others"	"cluster 2"
"ENSMUSG00000070780"	1.50403565336195	0.540534751650917	0.590576112028037	-0.00232151774565367	0.759660384853366	"245945"	"Rbm47"	"RNA binding motif protein 47"	"no"	"others"	"cluster 2"
"ENSMUSG00000037685"	0.726229664464214	0.463008826766247	1.09111956167511	0.00243308873021927	0.86705946974538	"11980"	"Atp8a1"	"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1"	"no"	"others"	"cluster 4"
"ENSMUSG00000029213"	-1.77229446454648	-0.514093078381196	-0.572665189839657	-0.00249930107290861	-0.439855760496715	"27784"	"Commd8"	"COMM domain containing 8"	"no"	"others"	"cluster 7"
"ENSMUSG00000029413"	1.42576677052762	0.333359645171889	2.41343550813405	0.00167039897169019	0.98187779077932	"67111"	"Naaa"	"N-acylethanolamine acid amidase"	"no"	"others"	"cluster 4"
"ENSMUSG00000034855"	3.3419918802196	0.991820666476773	2.72744947966951	-0.000103536957111499	-0.102261177971475	"15945"	"Cxcl10"	"chemokine (C-X-C motif) ligand 10"	"no"	"shared"	"cluster 2"
"ENSMUSG00000029426"	-1.27157676414669	-0.388199038185555	0.015443510090403	0.00148270363772501	-0.0213666513297132	"12492"	"Scarb2"	"scavenger receptor class B, member 2"	"no"	"others"	"cluster 6"
"ENSMUSG00000063015"	-1.28118516078229	-0.624208935186706	-0.305938989385912	-0.0036309100655897	-0.716804434845951	"12453"	"Ccni"	"cyclin I"	"no"	"others"	"cluster 7"
"ENSMUSG00000029385"	-2.7485758074726	-1.06859414301219	-1.59858018460357	-0.00251497735157147	-2.02816011858909	"12452"	"Ccng2"	"cyclin G2"	"no"	"shared"	"cluster 8"
"ENSMUSG00000029330"	-1.68099081129094	-0.249352980440458	-0.180762994489831	-0.00156813590481866	-0.650552401736405	"74596"	"Cds1"	"CDP-diacylglycerol synthase 1"	"no"	"others"	"cluster 7"
